Topic,Question,BT Level
Functional Interfaces,Interpret the behaviour of Functional Interfaces in Java with a suitable example.,Understand
Enum,Write the general form of Enum in Java.,Remember
toString Method,Demonstrate the use of toString Method through a Java program.,Apply
Interfaces,Evaluate the effectiveness of using Interfaces in a Java application.,Evaluate
Collections Framework,List the key features of Collections Framework in Java.,Remember
Bitwise Operators,Apply Bitwise Operators to write a Java program that takes user input and produces output.,Apply
Enum,Compare Enum with a related concept in Java and analyze the differences.,Analyze
Arrays,Why is Arrays used in Java? Explain.,Understand
Labeled Loops,"Using Labeled Loops, write a program to solve a simple problem in Java.",Apply
Strings,Why is Strings used in Java? Explain.,Understand
Var-args,Analyze how Var-args interacts with other features of Java.,Analyze
Association,Create a Java application that uses Association to manage data for a small system.,Create
Aggregation,Devise a Java program that uses Aggregation to implement a custom feature.,Create
toString Method,Mention the purpose of toString Method in Java.,Remember
StringTokenizer,Evaluate the trade-offs involved in using StringTokenizer in Java.,Evaluate
BufferedReader,Develop a Java program that uses BufferedReader to handle a given scenario.,Apply
Object Class,Compare Object Class with a related concept in Java and analyze the differences.,Analyze
Byte Streams,Mention the purpose of Byte Streams in Java.,Remember
String Pool,Develop a Java program that uses String Pool to handle a given scenario.,Apply
Static Keyword,Critically assess the advantages and limitations of Static Keyword in Java.,Evaluate
Collections Framework,Evaluate the trade-offs involved in using Collections Framework in Java.,Evaluate
toString Method,Identify the keyword used for toString Method in Java.,Remember
Throw and Throws,"Recommend, with justification, when Throw and Throws should be used in Java.",Evaluate
Try-Catch-Finally,Examine the relationship between Try-Catch-Finally and memory usage in Java.,Analyze
BufferedReader,Classify the different forms of BufferedReader in Java and explain each.,Understand
HashSet,Differentiate between HashSet and a related concept in Java.,Understand
Queue,Evaluate the correctness and quality of a Java solution that uses Queue.,Evaluate
Date and Time API,Break down the working of Date and Time API in Java and analyze each step.,Analyze
Recursion,Analyze how Recursion interacts with other features of Java.,Analyze
String Buffer and Builder,"Determine whether String Buffer and Builder improves or harms the efficiency of a Java program, and justify.",Evaluate
Stream API,Construct a Java program that applies Stream API to process data.,Apply
Classes and Objects,Summarize the role of Classes and Objects in Java programming.,Understand
Data Types,Apply Data Types to write a Java program that takes user input and produces output.,Apply
Object Class,Build a Java solution that uses Object Class and explain your design choices.,Create
Bitwise Operators,Build a Java solution that uses Bitwise Operators and explain your design choices.,Create
Immutable Class,Show how Immutable Class can be used in a Java program to perform a task.,Apply
Polymorphism,Evaluate the correctness and quality of a Java solution that uses Polymorphism.,Evaluate
Loops,Describe how Loops works in Java.,Understand
Nested Classes,Use Nested Classes to implement a small Java application.,Apply
Dynamic Binding,Analyze the output of a Java program that uses Dynamic Binding.,Analyze
Is-A Relationship,Use Is-A Relationship to implement a small Java application.,Apply
Marker Interface,Define Marker Interface in Java.,Remember
Thread Synchronization,Critique a design decision that relies on Thread Synchronization in Java.,Evaluate
Exception Handling,Distinguish between correct and incorrect uses of Exception Handling in Java with analysis.,Analyze
Try-Catch-Finally,Analyze the time complexity of operations involving Try-Catch-Finally in Java.,Analyze
Anonymous Classes,Examine the relationship between Anonymous Classes and memory usage in Java.,Analyze
Aggregation,"Using Aggregation, write a program to solve a simple problem in Java.",Apply
Final Keyword,Analyze the output of a Java program that uses Final Keyword.,Analyze
Constructors,Critically assess the advantages and limitations of Constructors in Java.,Evaluate
Multidimensional Arrays,Devise a Java program that uses Multidimensional Arrays to implement a custom feature.,Create
Lambda Expressions,What is Lambda Expressions in Java?,Remember
JDK and JRE,Evaluate the effectiveness of using JDK and JRE in a Java application.,Evaluate
ClassLoaderBasics,List the key features of ClassLoaderBasics in Java.,Remember
Java Memory Model,Write a Java program to demonstrate Java Memory Model.,Apply
Constructors,Use Constructors to implement a small Java application.,Apply
Has-A Relationship,Design a Java program that integrates Has-A Relationship to solve a real-world problem.,Create
this Keyword,Break down the working of this Keyword in Java and analyze each step.,Analyze
Recursion,Justify whether Recursion is the best choice for a given Java programming problem.,Evaluate
Constructors,Write and execute a Java program illustrating Constructors.,Apply
Default Methods,"Using Default Methods, write a program to solve a simple problem in Java.",Apply
Thread Synchronization,Explain the advantages of using Thread Synchronization in Java.,Understand
Static Keyword,Design a Java program that integrates Static Keyword to solve a real-world problem.,Create
Jagged Arrays,What is Jagged Arrays in Java?,Remember
String Buffer and Builder,Interpret the behaviour of String Buffer and Builder in Java with a suitable example.,Understand
Classes and Objects,Give reasons why Classes and Objects is important in Java.,Understand
Command Line Arguments,Examine how Command Line Arguments affects the performance of a Java program.,Analyze
String Pool,Apply String Pool to write a Java program that takes user input and produces output.,Apply
Lambda Expressions,"Recommend, with justification, when Lambda Expressions should be used in Java.",Evaluate
Try-Catch-Finally,Identify the keyword used for Try-Catch-Finally in Java.,Remember
Functional Interfaces,Develop a Java program that uses Functional Interfaces to handle a given scenario.,Apply
Byte Streams,"Recommend, with justification, when Byte Streams should be used in Java.",Evaluate
Association,What are the components of Association in Java?,Remember
Variables,Analyze a given Java code segment using Variables and explain its behaviour.,Analyze
Enhanced For Loop,Build a Java solution that uses Enhanced For Loop and explain your design choices.,Create
ClassLoaderBasics,Critically assess the advantages and limitations of ClassLoaderBasics in Java.,Evaluate
Is-A Relationship,Construct a Java program that combines Is-A Relationship with exception handling to build a robust solution.,Create
Static Binding,Investigate the common errors that occur while using Static Binding in Java.,Analyze
Final Keyword,Analyze how Final Keyword interacts with other features of Java.,Analyze
Vector,"Using Vector, write a program to solve a simple problem in Java.",Apply
Jagged Arrays,Develop a complete Java application that uses Jagged Arrays along with other concepts.,Create
Collections Framework,"Determine whether Collections Framework improves or harms the efficiency of a Java program, and justify.",Evaluate
